stop_id,stop_src_id
B_826,"['0718DE53C1C84496', '64D3081966987039', 'AA26D9F25826AA4A', '3ECFE1DBB01159EF', '001611', '001686', '4937A56C05FABA08']"
B_798,"['AC4EEE801BB9133C', 'D2B43459063F53DB', '001609']"
B_8336,"['5CD6A0A0CE6B53B6', '7995F69FE44D0DB3', '001613']"
B_13133,['32A2D05A195364DC']
B_13104,"['A4601C77EB896E30', '003369', 'BC932662BA367CD0', 'DB3C6CA4725A7436']"
B_13105,"['E207DBF95EA7DE26', '003505']"
B_4072,"['D625B0997C3DBCFE', 'C80FB453C9F53569', '001576']"
B_8097,"['8BB1DE68DB8316D3', 'C5F7AF8D65B268E4', 'E9468D2AE13C3F39', '904DEAF7441E3BB8', 'D477F40E64BFF7D8', 'B5BAED26BD56AC16', '67727D444E2EC42B', '001577', 'D64C1350EE61A2AD']"
B_4162,"['AE4D7869B643DAA2', 'F6E296480D3481A2', '002981']"
B_9025,"['AE2A53D953B640BE', '225F00F550C301AE', '003030']"
B_4122,"['E798CB4E2C777782', '7F864B82461F638D', '001538']"
B_806,"['6E8CB58283AF3CB1', '001643']"
B_807,"['9CFB5F7232818FFA', '001644']"
B_808,"['A06590AD808DC9A9', 'DF4F6B54816F5172', '001415']"
B_9014a,"['06C9926B2E2B304F', '4D3CBBDB95447F2E', '001476', '001537', '032C7D86DF9ED3AC', '6418176FB389E363']"
B_3214,"['F948129B464BB963', '002962', '78277EF9D0189DED']"
B_836,"['73D995FCB1FFF157', '002475']"
B_238,"['0DE359EA64DEF296', '002456']"
B_3216,"['76B4054F2E1F00B0', '002474']"
B_12584,"['BEFD9F22518EC452', '002535']"
B_279,"['65EDACB416872451', '002512']"
B_280,"['0083ED6E0A4B1B04', '002513']"
B_1513,"['7C88601B99189BD4', '001289']"
B_282,"['323B8C4CA047E7D4', '001346']"
B_283,"['E14F46F557B6BF78', '001347']"
B_53,"['455338DEEC08A032', '001240']"
B_54,"['D7369E9D4404292E', '001241']"
B_55,"['5DB2359F5F8535E9', '001242']"
B_289,"['29A5797CA506CDEE', '001211']"
B_57,"['712502C1013BBC1C', '001250']"
B_1074,"['09680C5849BFA077', '177A516A81E9DEA5', '1EF5FAB9266BD6C8', '6D1FFB57C26F1108', '001776']"
B_1075a,"['93E0033436973DA7', '29B66F2353388E18', '54733D2BB5BE7121', '5D77A5CBE41F2984', '001654', '34BC6DF4457C3BED']"
B_1142a,"['F6512E7C4A6D5C2E', 'AA6F0A2661759A49', '917DF4AF0ED7B258', '001525']"
B_8337,"['9AC3AFC5216B9711', '92540DF9CB08304C', '332F374B6CB17C57', '001472']"
B_1415,"['AFB03B10416E2199', 'E89B2315750AB2FD', '001706', '4B9D547F0F450784']"
B_1147,"['4B9D547F0F450784', '6FB456AE4E4CFFD4', '001470', '5D1E6432755E4F5F']"
B_7025,['7BDF3895E0BCE33B']
B_10244,['168487E2C681CB0D']
B_8088,['3942D55ED3DE84C9']
B_4006,"['7C4E16F4A138B142', '003008']"
B_8090,"['A47333D8B495F77D', '029519563009717D', '003014']"
B_4008,['946C74E30100FE80']
B_9131,['A0287E3D747AD4FA']
B_9146,['1CCCE3B2D9AB4D2A']
B_9135,"['5C6ECA890BF03809', '003525']"
B_4225,"['7A1C43F91CF8A6FC', 'A926C2AC0071E407', '003539']"
B_4226,['98FCC750B322B706']
B_4227,"['AB741CA56ABEA9F2', 'BC294083A50B89DB', '7FAF7F6B57A8B606', '001626']"
B_4228,"['71C9731001C9C773', '38CBB6C76211934F', '001627']"
B_4229,"['F63C76EC97E38A91', '003508']"
B_4230,"['777ED0B1F3CF10DD', '003509']"
B_13129,"['F5F6D6EF74B4D7B2', '003510']"
B_10237,"['B96E368FC17CD0B0', '002864']"
B_9040,"['420E7970087AD769', '002876']"
B_9049,"['B76B249D3D253008', '520C9836ACAECDF9', 'E6915B4BA88D2DB5', '001595']"
B_9089,"['A7F35DC09E1A1528', '002850']"
B_9081,['0F4DB224F8A8FF9C']
B_12367,"['4884DCF89AD7BA6A', '701AC3250BF77D0E', 'BD06457129045F1D', '003597']"
B_7050,"['48AA5A2907C1833D', 'A72D15160CC3AF31', '68A3AF80BADFDE9F', '002718']"
B_783,"['7D06FF559C2414AF', '89A4D25AC31A8388', '001617']"
B_9121,['E4B6BF6D835723A0']
B_9144,"['7CC71E7933DD9625', '003523']"
B_9142,['D34CCDD12A1BC57F']
B_9147,['EE3EA981F3D6485D']
B_8098,['F159C47896D53738']
B_8099,['0F38AE1F1CAFF245']
B_8094,['642A6178B23761B6']
B_13070,['9E80A1847F06792A']
B_8085,"['661FEE32A0D73EB0', '002991']"
B_4186,"['2196A42A8F733DB5', 'D446D1EA79502BF2', '51831905D7BC1802', '003005']"
B_1387,"['F0AC02C6C94078C4', 'DE9BE04046C197C4', 'E7A17EFD6E7435AF', 'FE3B13A457EEA70C', '001689']"
B_1167,"['A0FDF34B2D278750', '48D7576D3F243169', '001469']"
B_995,"['951CE3B3EB98BA3A', '001708']"
B_1091,"['942E95B4336BDFA7', '29740CCBBD82FC33', '9A16E73DC0B9AF6C', '001652']"
B_1073,"['33BA3785390F1457', '001651']"
B_8230,"['ACF18512CA2861EC', '12AF5B1935BB9735', '1AEB39A1738104D3']"
B_8228,['3673A01280621EC2']
B_1165,['3558FA1D8DCF1F12']
B_8203,"['C8FD960431F7210C', 'D52BE142BBBD69D9', 'FAAD25334A972923', '31BFA986DE84EDE1', '003820']"
B_8222a,"['B9560CB9F6044374', '015AD27DAC83E698', '20B34B5CA0E66973', '0ACB63B00DEE1B37', '8BAB6AA783EE0508', '0306B53F46955E3E', '671775E6AF279B42']"
B_1137,"['83BB162ED5F1355F', '9E1F0E5A57F3D3D5', '003233']"
B_8218,"['5E12682DB792D6DA', 'E21A497AF62AF38F', '001496']"
B_1138,"['CEA9610F9443BD8D', '52AE04E9C3E77BE1', '266A4CDA19461A42', '001498']"
B_4067,"['D45CEDE6A9DFA30B', 'C2AA10A9751D3692', 'CC811B604DD883AE', '31852497A98F4A15', '8C79BE154468AE21', 'A147FDE0CFB7A60D', 'F97399CFEEB9219B', 'A11DE40C25E0AB6A', '06E1120EA9A7BF69', '001499', 'E4DC4C1162E302AE']"
B_13228,"['EC757345195E6EAC', '26A996F589C84844', '91AED9CBCE81500D', '001500']"
B_8322,"['427A1FF65094D4D0', 'DB42B6238F75CF3C', 'DCC8F8655EB76754', 'F374B56E275194D8', '31B93EAF018D6956', '001501', '9C884013EBA1D548']"
B_801,"['317BECDAF11EB461', 'ED5554C57CF0061C', 'B4B94159F6B89A6B', '001502']"
B_12355,"['D1AAD1771F3FA9A0', '4D9419874306D82F', '001575']"
B_4119,"['1C79BF0732EDBD9C', '2A01E3163DF9A954', '7F445DD11BE9B105', '003053']"
B_4163,['69B5D7E02401C25B']
B_4164,"['4EEABE3D756581FB', 'C1AFF00AC64F457A', '001810']"
B_4165,"['FCAA34C69CFEF26C', '5396072459507B7F', '001811']"
B_9035,"['8EA2D34406C216D3', 'C3427DE8E291FFA6', '6098480103C44C62', '1D0E096C4E9766C6', 'E6DCDD4CCE10E4B7', '003026', 'A92AD89F447B3339', 'CCD8857C4DC718BF']"
B_12916,"['C4403FEB65F754D5', 'B222F08B5E956350']"
B_1034,"['D17050E8964504BB', '001719']"
B_1035,"['04DDF4F7F1C74876', '001720']"
B_12914,"['BF08F9C08BB54A2B', 'D6F16850DA906373', '002702']"
B_7100,"['5FF5FCFD1121F033', '2BB6115BF9346B34', '3ABDE54448D1E059', '001721']"
B_1112,"['6765DD696FA8BF8D', '001665']"
B_7093,"['CE097C48CCAE22C9', 'DD5B5646768C5F09']"
B_4061,"['6CF34EF02CDBE26B', '04B6438688E12AC0', '003039']"
B_8232,['C6E63C45FF2EA573']
B_1359,"['C9266DD0E62297B9', '001605']"
B_707,"['7380707A36C032B9', '001496', '4B17C55C032D3A37']"
B_30065,['60D0B9706B352D1C']
B_1040,"['653B1CE8590D4B52', '001729']"
B_8341,['48EC2AD5CE8953A1']
B_1042,"['0AB2356DB4B15F19', '001730']"
B_10258,"['D8DBA3F5A1146887', '003801']"
B_1012,"['CEACD1DF9F00EF44', '001527']"
B_793,"['6E410E80F8C9915B', '001454']"
B_4001,"['272546A2E2F4FCEF', '65E3545412EECF41', '18492910339410B1', '785985F99EE00AE4', '53F544F4B03B5AE4', '001455']"
B_8207,"['2255A14989E8F149', 'C3313FB0649BBD41', '8D0555A78A132018', '1001A444985DA59D', '7188D2451C5AF461', '6F666C5235BD859B', '2FCE924121B95FE8', '2D3C0F18F9131DA2', '6F58AF0D366EB8CA', '0D9932C476D51576', '24BFA8C2C9E9F5DB', '003590', 'D1DCF0AEFDDA4EF0', '2ED2AD0C19C9CAAB', '53FC6F95C61542C1', '8A928A173E67CD96']"
B_8204,['C000E4384A704993']
B_706,"['177E7222D0968DE5', '478A61BE44E34707', '3221A3FF8CA898FF', '001494', '2C7BF1ADFCFB5545', '84B384771F1CE484', '8C67C373BC19EDF5', '3CA81FA2944B754D']"
B_1140,"['8570495BD7C63C02', 'F727B37E25DC4C88', '6BB5645D03BE78E7', '99D25E17B32126B4', '91AED9CBCE81500D']"
B_4074,"['A90CDCBFC07EDF86', '3161D898CD89AA38', '121EAC1C0D7D77BE', '003522']"
B_9129,"['84ECCB274C4677E8', '95A03A5E58916EA3']"
B_9130,['7310528ACFCE20DF']
B_9133,['EAAAF871D43F7B6F']
B_4220,"['EB471522ACF7B803', '692CEF512B0D029B']"
B_4218,"['EF71BF522855A38A', '32450B36AD15FDE7', '97D5170205CB0515', '8569ED53DDB3A570', '6C4DDD9C22580CA2', '550A2C52049679A0', '001615']"
B_4175,"['15B5EC433FBAB62A', 'AE264B401D72411A', '9D80403C90EDFBAD', '13A191322410A410', '430B9D9C6AFF364D', 'F5D322119DCA0F5A', '2802E2DEE1D48B51', '001422', '4BE7B829FA08FF82', 'ECB7F57E734C9691']"
B_12354,['EE5D9C9A5622C786']
B_4176,"['AC48794DF1F3332C', '001804']"
B_4177,"['61C5F8F2F38B2BE3', 'DC74D0FA83E25E8D', 'B9343464EDE68947', '003051']"
B_12371,"['21581A1F9544F6E4', 'B9CC4872480304AA', 'BEB1BBD9E816FA59', '8A25BDD80CA7201C', '002984']"
B_4179,"['E80A3E968CCEEFF7', '9E655CE3250647EA', '002985']"
B_4180,"['4960882151DB05E0', '2C7AEE8C6B2BC06A', '002986']"
B_4181,"['411A32C9BBF53857', '590E23621FD23B6C', '003326']"
B_9034,"['489A72B19BE37AE1', 'F4B357B11344180D', '002988']"
B_4183,"['5C6534DD562AEF61', 'A91745D47D69FF05', '002989']"
B_818,"['C5BDCDF9B4D7C514', '6D6EE27729F3C486', '14CF7824C407AB74', '6F357BC5B6EF7647', '813962A51DF6DACE']"
B_4185,"['2F7C67769B9FB896', '3FB80081AB2FF6FB', '47B6BE5FC95C2042', '001529']"
B_4040,"['0021600EF3DBEF94', '003009']"
B_8091,"['26DE86F5E667C410', '003023']"
B_8089,"['B8626845E031C9CF', '003024']"
B_12364,['E1EAFF3759608D41']
B_4043,['F2794804DD8799B4']
B_4002,"['9ED7E93749ABAE67', '1A3478416DABC289', '2C1366DA10099003', '001456']"
B_4003,"['9583BCF159B682BA', '1F189CEB915C191D', '001528']"
B_4004,"['D360B3EBF155C15A', '003006']"
B_4005,"['713BF17AF24FE4DA', '003007']"
B_9132,['B2B63870BF0309F5']
B_4009,"['4BB3E2907D3ED1CB', 'C8203D267CECF949', '003010']"
B_9125,"['8CD1D697477E50D0', '5D01986FB5E538CC']"
B_13143,"['25455FDE268CF605', '001809']"
B_4166,"['D46ED62A04D37ECE', 'F8D1049558163BE6', 'C048D4CF6ED36C7A', '001812']"
